                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.86934,                0.62977,                 1.1499,                0.80591,                0.79674,                0.81946,                0.55395,                 1.2309,                0.85542,                 1.5066,              0.0008912,              0.0008912,              0.0008912
                    114,                0.85541,                0.62417,                 1.1493,                0.81506,                0.79331,                0.82373,                0.55864,                 1.2296,                 0.8459,                 1.4883,              0.0008813,              0.0008813,              0.0008813
                    115,                0.86617,                0.61215,                 1.1405,                0.82266,                0.78773,                0.81814,                0.55929,                 1.2156,                0.84948,                 1.5017,              0.0008714,              0.0008714,              0.0008714
                    116,                0.89298,                0.62607,                 1.1949,                0.80123,                0.80202,                0.82168,                  0.558,                 1.2207,                0.81778,                 1.4971,              0.0008615,              0.0008615,              0.0008615
                    117,                0.85396,                0.60385,                 1.1411,                0.82981,                0.78615,                0.82321,                0.55688,                 1.2176,                0.83206,                 1.4787,              0.0008516,              0.0008516,              0.0008516
                    118,                0.86916,                0.60593,                 1.1499,                0.80556,                0.79588,                0.81881,                0.56146,                 1.2129,                0.84465,                  1.488,              0.0008417,              0.0008417,              0.0008417
                    119,                0.85171,                0.61898,                 1.1349,                0.81231,                0.79801,                0.82476,                0.56424,                 1.2212,                0.85028,                  1.481,              0.0008318,              0.0008318,              0.0008318
                    120,                0.84726,                 0.6057,                 1.1462,                0.81309,                0.79074,                0.81508,                0.55433,                 1.2158,                0.83553,                 1.4816,              0.0008219,              0.0008219,              0.0008219
                    121,                0.85385,                0.62749,                 1.1416,                0.80811,                0.80902,                0.81767,                0.55923,                 1.2091,                0.83611,                 1.4907,               0.000812,               0.000812,               0.000812
                    122,                0.83469,                 0.5953,                 1.1307,                0.79901,                 0.8046,                0.82208,                0.56518,                 1.2024,                0.82759,                 1.4705,              0.0008021,              0.0008021,              0.0008021
                    123,                0.87942,                0.61939,                 1.1623,                0.83757,                0.78275,                0.81932,                0.55927,                 1.2041,                0.85082,                  1.482,              0.0007922,              0.0007922,              0.0007922
                    124,                0.82865,                0.58896,                 1.1315,                0.82204,                 0.7916,                0.81544,                0.55263,                 1.2103,                0.82932,                 1.4938,              0.0007823,              0.0007823,              0.0007823
                    125,                0.82455,                0.57938,                 1.1198,                 0.8096,                0.79498,                0.82405,                0.56877,                 1.1982,                0.84577,                 1.4729,              0.0007724,              0.0007724,              0.0007724
                    126,                0.83558,                0.57786,                 1.1179,                0.81301,                0.79846,                0.82476,                0.56672,                 1.1967,                 0.8543,                 1.4843,              0.0007625,              0.0007625,              0.0007625
                    127,                0.83333,                0.57894,                 1.1249,                0.79102,                0.81389,                0.81719,                0.56088,                 1.2198,                0.86472,                 1.4931,              0.0007526,              0.0007526,              0.0007526
                    128,                0.82633,                0.59737,                 1.1163,                0.80458,                0.78645,                0.81797,                0.56505,                 1.2146,                0.83601,                 1.4791,              0.0007427,              0.0007427,              0.0007427
                    129,                0.83514,                0.58595,                 1.1367,                0.83675,                0.77101,                0.80931,                0.55657,                 1.2226,                0.86038,                 1.4852,              0.0007328,              0.0007328,              0.0007328
                    130,                0.84399,                0.58687,                 1.1357,                0.81856,                0.80091,                0.81902,                0.56525,                 1.2172,                0.85725,                 1.4899,              0.0007229,              0.0007229,              0.0007229
                    131,                0.80339,                0.55944,                 1.1041,                0.82831,                0.80532,                0.82122,                 0.5656,                 1.2231,                0.83941,                 1.4979,               0.000713,               0.000713,               0.000713
                    132,                0.82452,                0.58956,                  1.116,                0.82943,                0.78822,                 0.8171,                0.55778,                  1.209,                0.84611,                 1.4818,              0.0007031,              0.0007031,              0.0007031
                    133,                0.81871,                0.57519,                 1.1193,                0.81169,                0.80587,                0.81715,                0.56022,                 1.2216,                0.85435,                    1.5,              0.0006932,              0.0006932,              0.0006932
                    134,                0.81378,                0.56448,                 1.1136,                0.82152,                0.80189,                0.81835,                0.56007,                 1.2191,                0.82931,                 1.4951,              0.0006833,              0.0006833,              0.0006833
